asin,price_mean,price_max,price_min,bsr_mean,bsr_max,bsr_min,score_mean,score_max,score_min,url,upload_date
B085ZKWHTG,14.99,14.99,14.99,87078.625,154346,30427,4.375,5.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B085ZKWHTG.jpg,2020-03-16
B089LHJJBM,14.656666666666666,14.99,13.99,87688.83333333333,199659,37129,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B089LHJJBM.jpg,2020-06-02
B089PHM4ZR,17.95,17.95,17.95,87843.2,152970,39639,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B089PHM4ZR.jpg,2020-06-04
B085V5X9BZ,15.95,15.95,15.95,88354.6,179826,20147,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B085V5X9BZ.jpg,2020-03-12
B089P1F6SS,17.49,17.99,15.99,88441.83333333334,147911,40250,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B089P1F6SS.jpg,2020-06-04
B089RTXK1T,13.95,13.95,13.95,88476.0,154155,21503,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B089RTXK1T.jpg,2020-06-06
B085RMXNG5,17.99,17.99,17.99,89615.8,133088,48021,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B085RMXNG5.jpg,2020-03-10
B0861RBPB5,18.99,18.99,18.99,90548.16666666666,151510,26052,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B0861RBPB5.jpg,2020-03-17
B085T12YSX,19.95,19.95,19.95,91113.6,136045,37085,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B085T12YSX.jpg,2020-03-11
B089LDQRZ3,15.49,15.49,15.49,92934.0,140067,36058,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B089LDQRZ3.jpg,2020-06-02
B0866HQMF5,17.99,17.99,17.99,93074.75,159012,31237,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B0866HQMF5.jpg,2020-03-20
B085T2HH5S,17.95,17.95,17.95,93406.8,120245,56017,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B085T2HH5S.jpg,2020-03-11
B0866T2JNK,14.9,14.9,14.9,93664.87500000001,162782,52950,4.375,5.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B0866T2JNK.jpg,2020-03-20
B085SK6DC6,14.99,14.99,14.99,94085.5,122623,65548,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B085SK6DC6.jpg,2020-03-11
B0862P6QGY,17.31,17.97,16.98,94527.0,190998,19056,4.444444444444445,5.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B0862P6QGY.jpg,2020-03-18
B0866CSLD9,18.99,18.99,18.99,94687.875,156342,49362,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B0866CSLD9.jpg,2020-03-20
B086542BVR,15.704285714285712,16.99,13.99,95212.14285714286,164385,23916,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B086542BVR.jpg,2020-03-19
B085TJZ3LJ,16.99,16.99,16.99,95789.83333333333,165835,24669,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B085TJZ3LJ.jpg,2020-03-12
B089MMF6DM,19.99,19.99,19.99,95842.6,137654,67220,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B089MMF6DM.jpg,2020-06-03
B086CGMMLK,17.49,17.49,17.49,96106.33333333334,167101,38470,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B086CGMMLK.jpg,2020-03-25
